Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-07-13,Final Destination Bloodlines,2025,https://boxd.it/ajjqoH,3,,"The setups for every death were SO perfect. Loved trying to guess what was gonna happen and, more often than I expected, being surprised by something I'd overlooked.","julia, connie, plex",2025-07-12
2025-07-14,The Ballad of Wallis Island,2025,https://boxd.it/ajPo9z,4,,Extremely cute film! Tim Key is so charmingly funny.,"julia, curzon camden",2025-07-13
2025-07-15,The Hitchhiker's Guide to the Galaxy,1981,https://boxd.it/alnMEN,4,Yes,A very great adaptation of the books! Extremely funny and oddly comforting. I think <i>Hitchhiker's Guide </i>was the first sci-fi series I read as a child 🥹,plex,2025-07-15
2025-07-21,KPop Demon Hunters,2025,https://boxd.it/aq0qhh,3.5,,I'm sorry I'd probably be a Saja Boys stan if I was there,"julia, netflix",2025-07-21
2025-07-31,Blockers,2018,https://boxd.it/axVnSV,2.5,,"Worried that I won't be allowed to choose anything at movie nights from now on 😅

It had some endearing moments though!","julia, ollie, alice, netflix",2025-07-30
2025-08-03,KPop Demon Hunters,2025,https://boxd.it/aAgowr,4,Yes,Even better on a second watch! Just imagine being in that stadium when <i>Your Idol</i> played for the first time. Life-changing experience.,"julia, ollie, alice, netflix",2025-08-02
2025-08-05,The Fantastic 4: First Steps,2025,https://boxd.it/aBY7Hz,3,,"A step in the right direction but still blergh!

Definitely one of the more visually interesting things Marvel has pumped out in recent times—it honestly actually looks quite <i>good!</i>—but that doesn't save it from a weak storyline and a boring third act.","julia, curzon camden",2025-08-04
2025-08-11,Materialists,2025,https://boxd.it/aGpiAz,2.5,,"Did not like this. Sorry!

Pretty bland acting across the board. I'm not certain anyone actually read their scripts until the day they started filming?

If this was the 90s, <i>Materialists</i> would've been a snappy, 90-minute romcom with actual humorous moments and a likeable lead, and we'd probably have been better off for it.","julia, plex",2025-08-10
2025-08-14,Weapons,2025,https://boxd.it/aIPkj1,4,,"Think the trailer was selling something very different to the movie. That's not to say I didn't enjoy the movie but it's always going to be a little disappointing when a set of expectations aren't met.

Anyway, sulk over. Lots to like here! The story is told in a particular way that really effectively builds the tension from multiple different angles at once. I actually cared about the characters and felt they were all given compelling motivations.

As with a lot of horror movies, it's at its best when we don't know what's going on and are only give the teeniest of peeks behind d the curtain. I don't think the ending fully landed for me but it was a very fun final few scenes! Are we allowed to laugh during horror movies? Genuinely funny in many places!","picturehouse finsbury, julia, luke, joe, chloe, cait, mark",2025-08-13
2025-08-27,Freaky Friday,2003,https://boxd.it/aSA0kX,4.5,,"VERY cute, funny movie and I may have shed a tear of two during the rehearsal dinner scene. Jamie Lee Curtis and Lindsay Lohan played off each other phenomenally well.","julia, disney+",2025-08-23
2025-08-30,The Thursday Murder Club,2025,https://boxd.it/aU9HMz,2.5,,"The cast was endearing but the plot failed to win me over. Too much care taken in explaining every logical deduction down to the minutest or detail. Adding more deaths doesn't make the reveal more satisfying!!! At least it was somewhat funny, I think?","oli, picturehouse central",2025-08-29
2025-09-29,One Battle After Another,2025,https://boxd.it/bcXBZJ,4.5,,"Sean Penn, everybody! Electric cinema.","odeon leicester square, simon, luke, joe",2025-09-28
2025-10-20,Freakier Friday,2025,https://boxd.it/bq3hnf,3,,"Can't wait for Freaky Friday 50: Freakiest Friday, when every single person on Earth swaps bodies with someone else and nobody has any idea what to do.","julia, plex",2025-10-17
2025-11-02,Bring Her Back,2025,https://boxd.it/bzg7H7,3.5,,"Top/tier casting for the role of ""creepy little child"". He's gonna go far.

Enioyed the movie but would like even more weird culty VHS content and disgusting rituals.","julia, ollie, alice",2025-10-31
2025-11-02,Frankenstein,2025,https://boxd.it/bzgjNV,4,,Jacob Elordi is so tall.,"julia, curzon camden",2025-11-01
2025-11-29,Wake Up Dead Man,2025,https://boxd.it/bROAuh,3.5,,Too long! but also quite fun!,"julia, tom, picturehouse central",2025-11-28
2025-12-10,TRON: Ares,2025,https://boxd.it/bZBSp1,2,,This is not a Tron movie. This is a shitty action movie in a Tron skin-suit.,"dad, plex",2025-12-09
2025-12-11,Die Hard,1988,https://boxd.it/bZYPZh,4,Yes,So cool to see this in a cinema! More places need to do rescreenings. Cinemas shouldn't just be for new movies!!!,"the light redhill, dad, julia, oli",2025-12-08
2025-12-12,Me and Earl and the Dying Girl,2015,https://boxd.it/c0Taah,3.5,,"Started to zone out a bit at the end but then <b>BAM</b> suddenly <i>Brian Eno </i>is playing??

I think there's a headspace in which this movie would make me very sad, but it didn't quite hit like that for me. I mostly felt very fixated on how annoying Greg is as a person...","julia, plex",2025-12-11
2025-12-20,Avatar: Fire and Ash,2025,https://boxd.it/c8cDZJ,3,,"Oh, you know Colonel Miles Quaritch was <i>down <b>bad</b></i> for Varang.

Every single star from this rating is for the visual effects. I'm pretty sure the story was exactly the same as Way of the Water. Not so much a fan of the constant, unpredictable switching to high framerate. At least keep it consistent across the same scene!","manu, jordan, odeon west end",2025-12-20
2025-12-23,The Ballad of Wallis Island,2025,https://boxd.it/cb61Kr,4,Yes,"Even sweeter and more charming on a second watch.

Felt especially moved by Tim Key's character this time round. The way he juggles keeping his connection to his wife alive through the music they loved, while also battling loneliness and still yearning for some form of human companionship. Very emotional and heartwarming all the way through 🥰","plex, dad, mum",2025-12-22
2025-12-26,Gremlins,1984,https://boxd.it/cecd9r,4,Yes,"Screw <i>Die Hard</i>, THIS is the ""Christmas film"" everybody should he watching.","plex, dad, mum, oli",2025-12-25
2025-12-27,John Wick: Chapter 4,2023,https://boxd.it/cg8Pr9,4,Yes,Really comes into its own in the final third. John Wick going all <i>Hotline Miami</i> on us is cool as fuck and will never get old.,"plex, dad",2025-12-26
2025-12-28,"What's Up, Doc?",1972,https://boxd.it/cgLp7b,4,,The best car chase I've ever seen,"iplayer, dad, mum",2025-12-27
2026-01-06,The Wedding Banquet,2025,https://boxd.it/csKzJl,2.5,,I didn't think it would be great...but it's <i>really</i> not great. It so desperately wants to be in the same group as <i>A Nice Indian Boy</i> but it just doesn't have the <b>sauce.</b>,"julia, plex",2026-01-03
2026-01-06,Marty Supreme,2025,https://boxd.it/ctTlZV,4.5,,"Absolutely buzzing throughout this. I felt like someone had injexted the soundtrack directly into my veins.

Needs more table tennis, though, please!","julia, curzon camden",2026-01-06
2026-01-14,Air,2023,https://boxd.it/cDf2D7,3.5,Yes,"""How we signed Michael Jordan"" is kind of a bizarre thing to base your 1h51m biopic around but I'll be dammed if it doesn't still hit.","julia, plex",2026-01-13
2026-01-18,28 Years Later: The Bone Temple,2026,https://boxd.it/cGkfKx,3,,"Definitely not as strong as the first <i>Years</i>. Too much time spent with Jimmy and the gang doing not much at all, and nowhere near enough time with Dr Kelson! Ralph Fiennes is putting in some <i>incredible</i> work here.","julia, luke, simon, curzon camden",2026-01-17
2026-01-27,Hot Fuzz,2007,https://boxd.it/cR5Tb7,4.5,Yes,Perfect movie. So much visual comedy. So much verbal comedy. Everything exists in this movie for a reason and some of the background gags are wonderful for spotting for a rewatch.,"julia, plex",2026-01-24
2026-01-31,Nouvelle Vague,2025,https://boxd.it/cUSKzp,3.5,,"<i>« Moteur, Raoul! »</i>","julia, luke, simon, curzon camden",2026-01-30
2026-02-03,The Lord of the Rings: The Return of the King,2003,https://boxd.it/cXCKSr,4.5,Yes,I mean this is just the quintessential fantasy story that everyone else wishes they could replicate. What an amazing world we live in that this was able to get such a great adaptation.,"oli, vue leicester square",2026-02-01
2026-02-10,Bend It Like Beckham,2002,https://boxd.it/d45UXN,2.5,,"Contains some great lines like, “anyone can make aloo gobi, but who can bend it like Beckham?”","julia, plex, lucy, amelia",2026-02-09
2026-02-12,The Intern,2015,https://boxd.it/d5GaKV,3.5,Yes,So much better watching this in a cinema with Nancy fans. ❤️,"julia, picturehouse central",2026-02-11
2026-02-14,Something's Gotta Give,2003,https://boxd.it/d6XTt9,3,,"Something's gotta give, but it’s not Jack Nicholson’s acting…

Maybe another one that’s better in the cinema","julia, plex",2026-02-13
2026-02-15,Wuthering Heights,2026,https://boxd.it/d7QKmX,2,,"BADBADNOTGOOD. Devoid of life and the two leads are so unlikable. But not in a ""wow they've been written so well” kind of way, more like a, “I hate watching this and would rather be doing just about anything else” vibe.

Very much a wasted Saturday afternoon 😀👍","julia, curzon camden",2026-02-14
2026-02-17,Bugonia,2025,https://boxd.it/da1RrP,4,,Absolutely <i>flies</i> by!,"plex, julia",2026-02-15
2026-02-25,If I Had Legs I'd Kick You,2025,https://boxd.it/diahMd,4,,Horrendously stressful watch. So glad I saw it. That kid is a creature from a horror movie and she should've killed it :/,"curzon camden, julia, luke",2026-02-24
2026-03-02,I Swear,2025,https://boxd.it/dm5JBN,5,,"One of the most earnest movies 🥺 Robert Aramayo is so, so good, and I’ll be cheering for Dottie until the day I die. 🏆

Not to get too into it but there’s a scene in this which basically exactly mirrors what I think the response should’ve been surrounding the whole BAFTAs “situation”, and the fact that there are people who aren’t responding like that makes this all the more important of a watch.","plex, julia, alice, ollie",2026-03-01
2026-03-13,Sirāt,2025,https://boxd.it/duJMad,3.5,,"What do you do when you enjoyed a movie but then you read the half-star reviews and it’s like, “oh…”?","julia, plex",2026-03-12
2026-03-15,Hoppers,2026,https://boxd.it/dw6Dxx,4.5,,"Movies have the power to change the world. Not a dry eye in the room 😭

🦫 🪵","julia, curzon camden",2026-03-14
2026-03-15,Hamnet,2025,https://boxd.it/dwl5wb,3.5,,"Definitely a Cinema Movie, and it probably would’ve hit much harder had I seen it when it came out.","julia, plex",2026-03-14
2026-03-17,Louis Theroux: Inside the Manosphere,2026,https://boxd.it/dylKNZ,3,,"Not really saying anything new, but still glad it’s being said. The problem is that the only people who’ll watch this are not the audience who <i>need</i> to.","dad, netflix",2026-03-16
2026-03-18,Sinners,2025,https://boxd.it/dz9YQ9,5,Yes,"Bumping it up half a star because not a day has gone by since I first saw this that I <i>haven’t</i> been thinking about a rewatch. I’ve only just got around to it, 11 months later, and the fact that it <i>still</i> managed to exceed the levels of hype I’d created for myself is just a testament to how much I love this film. 

I’ve listened to the soundtrack nearly every single day, yet it hits so differently and more powerfully with the movie behind it.","julia, plex",2026-03-17
2026-03-19,WALL·E,2008,https://boxd.it/dzVFHN,4.5,Yes,Love this little guy,"plex, julia",2026-03-18
2026-03-20,Predator: Badlands,2025,https://boxd.it/dADwkD,2.5,,I’ve decided I don’t care for these sorts of movies anymore.,plex,2026-03-19
2026-03-23,Project Hail Mary,2026,https://boxd.it/dDsjCf,4,,"Still a good movie but think it would’ve been better if I hadn’t read the book first. There’s just too much left out from the story that I think is important to know, and the movie felt reduced down to just the bare essentials to make it hold together.

Also, far too much music, and song choices that seemed quite disconnected from the movie’s overall vibe. It’s totally fine for some scenes to be in silence, and I think the directors should’ve leaned into that a bit more!","cineworld leicester square, julia, alice, ollie, imax",2026-03-22
2026-03-27,No Other Choice,2025,https://boxd.it/dH7FKf,4.5,,What Julia said.,"julia, picturehouse central",2026-03-26
2026-04-01,3 Idiots,2009,https://boxd.it/dLLw8R,3.5,,Fun movie with a good message but it’s a bit too corny for me :/ IM SORRY,"julia, plex",2026-03-31
2026-04-04,Inception,2010,https://boxd.it/dOA2kt,5,,Think the third act is a tad long but otherwise no notes. GREAT movie two thumbs up 👍👍,"plex, julia, dad, mum",2026-04-03
2026-04-05,When Harry Met Sally...,1989,https://boxd.it/dQaoyj,4,,I think this might be the best romcom 🥰,"plex, julia, mum, dad",2026-04-05
2026-04-12,Interstellar,2014,https://boxd.it/dWxyot,5,Yes,Saw with a live orchestra and it was incredible.,"royal albert hall, julia",2026-04-05
2026-04-18,The Housemaid,2025,https://boxd.it/e0CC5L,2,,"<b>Me:</b> Mum, can we have <i>Gone Girl</i>?

<b>Mum:</b> We have <i>Gone Girl</i> at home

<b>Gone Girl at home:</b>","julia, plex",2026-04-17
2026-04-27,The Devil Wears Prada,2006,https://boxd.it/e8a7oX,4,Yes,"Meryl Streep is operating with unparalleled levels of aura in this movie. Absolutely off the charts.

I think movies from the early 2000s used some kind of special sauce that movies nowadays have simply lost the recipe for.","plex, julia, hagi",2026-04-26
2026-04-30,Midnight Mass,2021,https://boxd.it/easXBj,3.5,Yes,"Once you get past the hundreds of hours of monologuing, there’s actually a very good TV series hidden underneath.","julia, plex",2026-04-29
2026-05-08,The Drama,2026,https://boxd.it/egJLY9,4,,"Rachel was in no position to kick off as much as she did, especially given <i>her </i>confession.","julia, plex",2026-05-07
