Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-28,"The Boy, the Mole, the Fox and the Horse",2022,https://boxd.it/8bGiGL,2,,,2024-12-27
2024-12-28,Alice Through the Looking Glass,2016,https://boxd.it/8bJb71,2,,,2024-12-27
2024-12-28,La Chimera,2023,https://boxd.it/8bXe0P,4,Yes,"apple tv, mum, dad",2024-12-27
2024-12-29,Flushed Away,2006,https://boxd.it/8cBnEJ,3,Yes,,2024-12-28
2025-01-11,A Real Pain,2024,https://boxd.it/8pG16x,3.5,,"julia, plex",2025-01-10
2025-01-12,We Live in Time,2024,https://boxd.it/8ruY0H,3.5,,"julia, plex",2025-01-12
2025-01-18,Decision to Leave,2022,https://boxd.it/8vPfuv,4,,plex,2025-01-17
2025-01-26,The Brutalist,2024,https://boxd.it/8BGFW7,3.5,,"julia, tom, picturehouse finsbury",2025-01-25
2025-01-31,Flow,2024,https://boxd.it/8FMAuF,3,,"julia, plex",2025-01-25
2025-01-28,Secretary,2002,https://boxd.it/8DyowN,3.5,,"julia, plex",2025-01-27
2025-02-06,Grease,1978,https://boxd.it/8KrX3v,3,,julia,2025-01-31
2025-02-06,"Definitely, Maybe",2008,https://boxd.it/8KrZDZ,2.5,,julia,2025-01-31
2025-02-06,My Dearest Fu Bao,2024,https://boxd.it/8Ks3BD,3.5,,julia,2025-01-31
2025-02-06,"I Love You, Man",2009,https://boxd.it/8Ks7Bn,2,,julia,2025-02-01
2025-02-05,Lilo & Stitch,2002,https://boxd.it/8JL08n,4.5,,"julia, disney+",2025-02-04
2025-02-10,The Fall Guy,2024,https://boxd.it/8Nf4O5,4,,julia,2025-02-10
2025-02-10,The Watchers,2024,https://boxd.it/8Nf5Mp,2,,,2025-02-10
2025-02-14,The Bourne Identity,2002,https://boxd.it/8PbQPZ,3.5,,plex,2025-02-13
2025-02-16,Bridget Jones: Mad About the Boy,2025,https://boxd.it/8QjB0d,3,,"julia, picturehouse crouch end",2025-02-15
2025-02-17,Heretic,2024,https://boxd.it/8RgV93,3,,"plex, dad, mum",2025-02-16
2025-03-02,A Complete Unknown,2024,https://boxd.it/8ZyYSD,2.5,,julia,2025-03-01
2025-03-10,Mickey 17,2025,https://boxd.it/94I187,3,,"julia, picturehouse central",2025-03-08
2025-03-21,Best in Show,2000,https://boxd.it/9boh8l,3.5,,"plex, julia",2025-03-20
2025-04-21,Black Bag,2025,https://boxd.it/9tafNF,4,,,2025-03-23
2025-04-06,Chef,2014,https://boxd.it/9koVcD,4,Yes,"vic, tastefilm",2025-04-05
2025-04-12,Adolescence,2025,https://boxd.it/9nA5NN,4,,"connie, netflix",2025-04-11
2025-04-14,Whiplash,2014,https://boxd.it/9p0czJ,5,Yes,"julia, plex",2025-04-13
2025-04-19,Black Mirror: Common People,2025,https://boxd.it/9rOXiX,4,,"julia, netflix",2025-04-14
2025-04-18,Arrival,2016,https://boxd.it/9raTZj,5,Yes,"julia, plex",2025-04-17
2025-04-20,Black Mirror: Bête Noire,2025,https://boxd.it/9slO0L,2,,"julia, netflix",2025-04-17
2025-04-20,Black Mirror: Eulogy,2025,https://boxd.it/9slzsb,4,,"netflix, julia",2025-04-19
2025-04-20,The Princess Bride,1987,https://boxd.it/9sWgMF,3,,"plex, dad, mum, oli",2025-04-19
2025-04-20,Black Mirror: Plaything,2025,https://boxd.it/9sTPQB,3.5,,netflix,2025-04-20
2025-04-21,Black Mirror: USS Callister – Into Infinity,2025,https://boxd.it/9t5Qwh,3.5,,netflix,2025-04-20
2025-04-21,The Order,2024,https://boxd.it/9thZov,4,,"plex, dad",2025-04-20
2025-04-23,Sinners,2025,https://boxd.it/9uCZ8t,4.5,,"dad, the light redhill",2025-04-22
2025-04-24,Tron,1982,https://boxd.it/9vaRo7,2,,"dad, plex",2025-04-23
2025-05-05,Much Ado About Nothing,1993,https://boxd.it/9BDny9,3.5,,"julia, plex",2025-05-03
2025-05-06,Thunderbolts*,2025,https://boxd.it/9C6MzJ,2.5,,"curzon camden, julia",2025-05-05
2025-05-09,Stardust,2007,https://boxd.it/9E6DkX,4,,"julia, plex",2025-05-08
2025-05-29,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/9POdPd,3.5,Yes,plex,2025-05-28
2025-05-30,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9QqlNZ,3.5,,"picturehouse central, tom",2025-05-29
2025-06-08,Conclave,2024,https://boxd.it/9WbFAF,4,Yes,"prime, connie",2025-06-05
2025-06-19,Love & Mercy,2014,https://boxd.it/a3bpR9,4,,"julia, iplayer",2025-06-19
2025-06-20,A Nice Indian Boy,2024,https://boxd.it/a3uT5H,3,,julia,2025-06-19
2025-06-25,28 Weeks Later,2007,https://boxd.it/a6PvTR,2,,netflix,2025-06-24
2025-06-26,F1,2025,https://boxd.it/a7QeSt,3.5,,curzon camden,2025-06-26
2025-06-28,28 Years Later,2025,https://boxd.it/a8xTMx,4,,"julia, simon, picturehouse central",2025-06-27
2025-06-30,My Neighbor Totoro,1988,https://boxd.it/a9WwFR,4,,"julia, bfi southbank",2025-06-29
2025-07-01,London's Hidden Track,2025,https://boxd.it/abfYtr,5,,julia,2025-07-01
2025-07-13,Superman,2025,https://boxd.it/aj45BZ,3.5,,"julia, simon, luke, vue islington",2025-07-12
2025-07-13,Final Destination Bloodlines,2025,https://boxd.it/ajjqoH,3,,"julia, connie, plex",2025-07-12
2025-07-14,The Ballad of Wallis Island,2025,https://boxd.it/ajPo9z,4,,"julia, curzon camden",2025-07-13
2025-07-15,The Hitchhiker's Guide to the Galaxy,1981,https://boxd.it/alnMEN,4,Yes,plex,2025-07-15
2025-07-21,KPop Demon Hunters,2025,https://boxd.it/aq0qhh,3.5,,"julia, netflix",2025-07-21
2025-07-31,Blockers,2018,https://boxd.it/axVnSV,2.5,,"julia, ollie, alice, netflix",2025-07-30
2025-08-03,KPop Demon Hunters,2025,https://boxd.it/aAgowr,4,Yes,"julia, ollie, alice, netflix",2025-08-02
2025-08-05,The Fantastic 4: First Steps,2025,https://boxd.it/aBY7Hz,3,,"julia, curzon camden",2025-08-04
2025-08-06,The Naked Gun,2025,https://boxd.it/aCHfrp,3.5,,"vue islington, luke, joe",2025-08-05
2025-08-11,Materialists,2025,https://boxd.it/aGpiAz,2.5,,"julia, plex",2025-08-10
2025-08-14,Weapons,2025,https://boxd.it/aIPkj1,4,,"picturehouse finsbury, julia, luke, joe, chloe, cait, mark",2025-08-13
2025-08-27,Freaky Friday,2003,https://boxd.it/aSA0kX,4.5,,"julia, disney+",2025-08-23
2025-08-30,The Thursday Murder Club,2025,https://boxd.it/aU9HMz,2.5,,"oli, picturehouse central",2025-08-29
2025-08-31,Searching for Sugar Man,2012,https://boxd.it/aV9GeP,3.5,,,2025-08-31
2025-09-29,One Battle After Another,2025,https://boxd.it/bcXBZJ,4.5,,"odeon leicester square, simon, luke, joe",2025-09-28
2025-10-20,Freakier Friday,2025,https://boxd.it/bq3hnf,3,,"julia, plex",2025-10-17
